target,feature_set,n_rows,n_groups,n_features_raw,cv_kind,model,mae_mean,test_r2_mean
cycling_reversible_capacity_mah_g,D_surface_assisted_stable_composition_T_time_cycle,123,37,8,shuffled,Random Forest,154.41893901377912,0.1907250987512079
cycling_reversible_capacity_mah_g,D_surface_assisted_stable_composition_T_time_cycle,123,37,8,grouped,Extra Trees,172.76137923393946,-0.006418535366431222
cycling_reversible_capacity_mah_g,D_surface_assisted_stable_composition_T_time_cycle,123,37,8,shuffled,Extra Trees,153.6096948907597,0.20073041290967775
cycling_reversible_capacity_mah_g,D_surface_assisted_stable_composition_T_time_cycle,123,37,8,grouped,Gradient Boosting,170.8070204483777,-0.013632263036869041
cycling_reversible_capacity_mah_g,D_surface_assisted_stable_composition_T_time_cycle,123,37,8,shuffled,Gradient Boosting,150.70933424369377,0.20782538685762197
cycling_reversible_capacity_mah_g,E_stable_plus_first_capacity_diagnostic,123,37,8,grouped,Baseline mean,174.93270568636422,-0.00758646217742065
cycling_reversible_capacity_mah_g,E_stable_plus_first_capacity_diagnostic,123,37,8,shuffled,Baseline mean,175.21208182706442,-0.010736719160514996
cycling_reversible_capacity_mah_g,E_stable_plus_first_capacity_diagnostic,123,37,8,grouped,Ridge,123.09200782820258,0.4803841294372495
cycling_reversible_capacity_mah_g,E_stable_plus_first_capacity_diagnostic,123,37,8,shuffled,Ridge,116.22244757042289,0.522878105803578
cycling_reversible_capacity_mah_g,E_stable_plus_first_capacity_diagnostic,123,37,8,grouped,Random Forest,124.71963717863689,0.42412751795896053
cycling_reversible_capacity_mah_g,E_stable_plus_first_capacity_diagnostic,123,37,8,shuffled,Random Forest,115.33553787002614,0.516166867931886
cycling_reversible_capacity_mah_g,E_stable_plus_first_capacity_diagnostic,123,37,8,grouped,Extra Trees,125.69049395935352,0.44076326011627387
cycling_reversible_capacity_mah_g,E_stable_plus_first_capacity_diagnostic,123,37,8,shuffled,Extra Trees,117.30320969711052,0.5184622462718949
cycling_reversible_capacity_mah_g,E_stable_plus_first_capacity_diagnostic,123,37,8,grouped,Gradient Boosting,128.08653271776421,0.39281901194337043
